price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,subject
0.0,12.502184090784414,9.062999784077473,3.828641396489095,1,0.82,2.4423470353692043,3
0.0,11.989345962012042,5.634789603169249,3.332204510175204,3,0.69,1.5040773967762742,3
200.0,11.708368885642159,10.219975716829579,5.8377304471659395,1,0.89,3.784189633918261,3
0.0,11.697677399335891,8.686935966003333,3.4339872044851463,4,0.78,1.3862943611198906,3
200.0,11.648443632649485,10.017396426643911,5.720311776607412,1,0.55,3.449987545831587,3
0.0,11.50154090610359,8.781555458546402,3.044522437723423,4,0.82,1.3862943611198906,3
30.0,11.349205814895935,7.895808377083183,2.3978952727983707,4,0.79,1.0986122886681098,3
0.0,11.33544815583915,8.433594167539924,3.828641396489095,2,0.85,2.0149030205422647,3
175.0,11.284932675080688,9.739614765810634,4.454347296253507,4,0.69,2.5257286443082556,3
190.0,11.208897184915555,9.885832617297407,5.799092654460526,1,0.9,3.1354942159291497,3
0.0,11.19973411321324,7.448333860897476,3.1354942159291497,4,0.94,1.0986122886681098,3
0.0,11.197296490467497,7.853993087224244,3.091042453358316,4,0.39,0.6931471805599453,3
0.0,11.167246980597342,8.64135583403666,3.9318256327243257,4,0.57,1.9459101490553132,3
120.0,11.144568262685945,7.786967002614872,5.288267030694535,4,0.61,3.349904087274605,3
0.0,11.068651958695275,8.305978210967302,2.8903717578961645,1,0.96,0.9162907318741551,3
0.0,10.996081768878675,7.898411092811599,3.2188758248682006,4,0.55,1.7047480922384253,3
175.0,10.991409569996048,9.357121103184378,4.02535169073515,1,0.87,2.0794415416798357,3
195.0,10.971795260939382,9.316860215353856,4.59511985013459,1,0.73,2.6390573296152584,3
195.0,10.95820019891422,6.774223886357614,4.442651256490317,4,0.82,2.1400661634962708,3
195.0,10.92112475455604,7.111512116496157,4.976733742420574,2,0.28,3.044522437723423,3
145.0,10.844626982379674,7.578656850594762,4.356708826689592,4,0.76,2.1972245773362196,3
180.0,10.835966544606807,9.623641365852121,5.017279836814924,4,0.62,3.3141860046725258,3
0.0,10.792427642387484,7.1204443723924875,2.302585092994046,4,0.0,1.0986122886681098,3
50.0,10.776599347816312,5.655991810819852,4.836281906951478,4,0.41,2.6026896854443837,3
0.0,10.7592424086558,8.628913441026645,3.7376696182833684,4,0.18,2.2512917986064953,3
195.0,10.691444787858716,8.868835492826895,4.356708826689592,4,0.34,2.5649493574615367,3
